#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1912983/ERR1912983_2.fastq.gz,PRJEB17784/ERR1912983/ERR1912983_1.fastq.gz,PRJEB17784/ERR1912984/ERR1912984_1.fastq.gz,PRJEB17784/ERR1912984/ERR1912984_2.fastq.gz,PRJEB17784/ERR1912985/ERR1912985_2.fastq.gz,PRJEB17784/ERR1912985/ERR1912985_1.fastq.gz,PRJEB17784/ERR1913175/ERR1913175.fastq.gz,PRJEB17784/ERR1913176/ERR1913176.fastq.gz,PRJEB17784/ERR1913177/ERR1913177.fastq.gz --bowtie2out bowtie2out/SAMEA103958131.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.81011	
k__Archaea	2157	0.18989	
k__Bacteria|p__Bacteroidetes	2|976	64.81318	
k__Bacteria|p__Firmicutes	2|1239	30.37588	
k__Bacteria|p__Proteobacteria	2|1224	1.83245	
k__Bacteria|p__Verrucomicrobia	2|74201	1.51349	
k__Bacteria|p__Actinobacteria	2|201174	1.27327	
k__Archaea|p__Euryarchaeota	2157|28890	0.18989	
k__Bacteria|p__Lentisphaerae	2|256845	0.00185	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	64.81318	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.24579	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4.48851	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.9771	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.51349	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.2745	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.91224	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.66177	
