#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1913002/ERR1913002_2.fastq.gz,PRJEB17784/ERR1913002/ERR1913002_1.fastq.gz,PRJEB17784/ERR1913003/ERR1913003_1.fastq.gz,PRJEB17784/ERR1913003/ERR1913003_2.fastq.gz,PRJEB17784/ERR1913004/ERR1913004_1.fastq.gz,PRJEB17784/ERR1913004/ERR1913004_2.fastq.gz,PRJEB17784/ERR1913005/ERR1913005_1.fastq.gz,PRJEB17784/ERR1913005/ERR1913005_2.fastq.gz,PRJEB17784/ERR1913194/ERR1913194.fastq.gz,PRJEB17784/ERR1913195/ERR1913195.fastq.gz,PRJEB17784/ERR1913196/ERR1913196.fastq.gz,PRJEB17784/ERR1913197/ERR1913197.fastq.gz --bowtie2out bowtie2out/SAMEA103958151.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.15346	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.43775	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.35454	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.12957	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.11622	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.11561	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.09925	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.01176	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.00929	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00259	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.0016	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	47.31593	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	45.0073	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.05765	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.8991	
