#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1913054/ERR1913054_1.fastq.gz,PRJEB17784/ERR1913054/ERR1913054_2.fastq.gz,PRJEB17784/ERR1913055/ERR1913055_2.fastq.gz,PRJEB17784/ERR1913055/ERR1913055_1.fastq.gz,PRJEB17784/ERR1913056/ERR1913056_2.fastq.gz,PRJEB17784/ERR1913056/ERR1913056_1.fastq.gz,PRJEB17784/ERR1913246/ERR1913246.fastq.gz,PRJEB17784/ERR1913247/ERR1913247.fastq.gz,PRJEB17784/ERR1913248/ERR1913248.fastq.gz --bowtie2out bowtie2out/SAMEA103958147.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.90741	
k__Archaea	2157	1.09259	
k__Bacteria|p__Bacteroidetes	2|976	29.80104	
k__Bacteria|p__Firmicutes	2|1239	27.02406	
k__Bacteria|p__Proteobacteria	2|1224	26.6435	
k__Bacteria|p__Actinobacteria	2|201174	14.02093	
k__Bacteria|p__Synergistetes	2|508458	1.25312	
k__Archaea|p__Euryarchaeota	2157|28890	1.09259	
k__Bacteria|p__Lentisphaerae	2|256845	0.13152	
k__Bacteria|p__Verrucomicrobia	2|74201	0.03325	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	29.80104	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	25.75494	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.61029	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	12.2423	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.75376	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.77863	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.27813	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	1.25312	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.09259	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.64703	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.30131	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.22866	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.13152	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.08057	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.03325	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.01286	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.80104	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	25.52626	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	22.61029	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	12.1753	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.75376	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.37873	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.27813	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	1.25312	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.09259	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.64703	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.39991	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.30131	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.22868	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.22866	
