#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1913047/ERR1913047_1.fastq.gz,PRJEB17784/ERR1913047/ERR1913047_2.fastq.gz,PRJEB17784/ERR1913048/ERR1913048_2.fastq.gz,PRJEB17784/ERR1913048/ERR1913048_1.fastq.gz,PRJEB17784/ERR1913049/ERR1913049_2.fastq.gz,PRJEB17784/ERR1913049/ERR1913049_1.fastq.gz,PRJEB17784/ERR1913239/ERR1913239.fastq.gz,PRJEB17784/ERR1913240/ERR1913240.fastq.gz,PRJEB17784/ERR1913241/ERR1913241.fastq.gz --bowtie2out bowtie2out/SAMEA103958118.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.9242	
k__Archaea	2157	0.0758	
k__Bacteria|p__Firmicutes	2|1239	53.50419	
k__Bacteria|p__Bacteroidetes	2|976	25.63691	
k__Bacteria|p__Actinobacteria	2|201174	10.54603	
k__Bacteria|p__Proteobacteria	2|1224	10.0179	
k__Bacteria|p__Lentisphaerae	2|256845	0.21803	
k__Archaea|p__Euryarchaeota	2157|28890	0.0758	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00114	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	48.01847	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.63691	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	10.01054	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.16483	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	5.34679	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.38119	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.21803	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12892	
