#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1913064/ERR1913064_2.fastq.gz,PRJEB17784/ERR1913064/ERR1913064_1.fastq.gz,PRJEB17784/ERR1913065/ERR1913065_1.fastq.gz,PRJEB17784/ERR1913065/ERR1913065_2.fastq.gz,PRJEB17784/ERR1913066/ERR1913066_1.fastq.gz,PRJEB17784/ERR1913066/ERR1913066_2.fastq.gz,PRJEB17784/ERR1913067/ERR1913067_2.fastq.gz,PRJEB17784/ERR1913067/ERR1913067_1.fastq.gz,PRJEB17784/ERR1913068/ERR1913068_1.fastq.gz,PRJEB17784/ERR1913068/ERR1913068_2.fastq.gz,PRJEB17784/ERR1913256/ERR1913256.fastq.gz,PRJEB17784/ERR1913257/ERR1913257.fastq.gz,PRJEB17784/ERR1913258/ERR1913258.fastq.gz,PRJEB17784/ERR1913259/ERR1913259.fastq.gz,PRJEB17784/ERR1913260/ERR1913260.fastq.gz --bowtie2out bowtie2out/SAMEA103958127.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	2|976|200643|171549|1853231|283168	0.14911	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	2|1239|526524|526525|128827|1505663	0.133	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	2|201174|1760|2037|2049|184869	0.12476	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	0.08477	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	2|1239|186801|186802|186803|1432051	0.07676	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	2|1224|1236|91347|543|561	0.07179	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter	2|201174|84998|1643822|1643826|553372	0.06806	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	2|1239|91061|186826|1300|1357	0.06297	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus	2|508458|649775|649776|649777|508459	0.05341	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0.05042	
