ERR1912976.16737__1.16737	39485__R5ZPP8__EUBELI_20334
ERR1912976.17110__1.17110	1262921__R5LSI3__BN473_01312
ERR1912976.17193__1.17193	329854__R5LY77__DXD27_05730
ERR1912976.17237__1.17237	821__E5UY21__C800_02204
ERR1912976.17341__1.17341	552398__T5S086__HMPREF0866_01580
ERR1912976.17388__1.17388	28052__A0A174KGM3__ERS852451_01819
ERR1912976.17605__1.17605	40519__U2MCQ8__RUMCAL_00556
ERR1912976.17898__1.17898	28116__D4WJ30__DHW41_06080
ERR1912976.17955__1.17955	165179__A0A3E5AER8__DXB80_07075
ERR1912976.17970__1.17970	28052__R7NAF5__ERS852499_00597
ERR1912976.18098__1.18098	446660__GCA_003428235.1_01770
ERR1912976.18112__1.18112	360807__C0FNM3__ERS852392_00919
ERR1912976.18572__1.18572	261299__B0A8Q2__SAMN02745147_1554
ERR1912976.18658__1.18658	1263076__GCA_000437615.1_00179
ERR1912976.18753__1.18753	39485__R5ZVC3__ERS852490_00250
ERR1912976.18819__1.18819	821__E5UMZ6__BVU_1450
ERR1912976.18935__1.18935	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.19017__1.19017	239935__A0A2N8ITX2__CXT86_11265
ERR1912976.19023__1.19023	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.19262__1.19262	68891__A0A0F2DY13__dnaK
ERR1912976.19400__1.19400	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1912976.19417__1.19417	1550024__A0A0D8IYY8__TQ39_09180
ERR1912976.19509__1.19509	821__A6L0C7__ERS852556_03520
ERR1912976.19547__1.19547	239935__A0A2N8I1R3__CXU05_06075
ERR1912976.19625__1.19625	329854__R7E733__DXD57_00120
ERR1912976.19658__1.19658	329854__R5MD93__DXD27_17140
ERR1912976.19697__1.19697	357276__A0A076ITU4__EL88_22160
ERR1912976.19861__1.19861	214856__A0A174ZED5__ERS852559_00591
ERR1912976.19950__1.19950	40519__U2MCQ8__RUMCAL_00556
ERR1912976.20100__1.20100	29361__B6FRT6__CLONEX_02860
ERR1912976.20116__1.20116	1263000__R5EPT1__BN466_00731
ERR1912976.20232__1.20232	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.20272__1.20272	301301__A0A395VA18__RHOM_11700
ERR1912976.20430__1.20430	544644__GCA_001915615.1_00662
ERR1912976.20494__1.20494	1160721__R6TH97__BHW50_04165
ERR1912976.20558__1.20558	820__A0A139KHX1__HMPREF2141_00289
ERR1912976.20563__1.20563	820__A0A174CK74__DXB48_07060
ERR1912976.20550__1.20550	363265__G6AZB1__HMPREF0673_01975
ERR1912976.20795__1.20795	1897011__A0A1Q6RGA5__BHW41_02775
ERR1912976.20901__1.20901	239935__A0A2N8IEP3__CXT84_03735
ERR1912976.21278__1.21278	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.21359__1.21359	1262911__R6H2J2__BN557_01228
ERR1912976.21400__1.21400	1262986__R5ZVC2__BN492_01430
ERR1912976.21443__1.21443	821__A6L0C7__ERS852556_03520
ERR1912976.21498__1.21498	328813__A0A1Y3QXE7__B5G41_03065
ERR1912976.21617__1.21617	29361__B6FQ81__CLONEX_02300
ERR1912976.21715__1.21715	39485__R5ZT20__ERS852490_00975
